_H:	|batch	|epoch	|trial	$group_name	|phase_no	%minus_cycles	$trial_name	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,11>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Input_act_m[2:0,4]	%Input_act_m[2:1,4]	%Input_act_m[2:2,4]	%Input_act_m[2:0,5]	%Input_act_m[2:1,5]	%Input_act_m[2:2,5]	%Input_act_m[2:0,6]	%Input_act_m[2:1,6]	%Input_act_m[2:2,6]	%Input_act_m[2:0,7]	%Input_act_m[2:1,7]	%Input_act_m[2:2,7]	%Input_act_m[2:0,8]	%Input_act_m[2:1,8]	%Input_act_m[2:2,8]	%Input_act_m[2:0,9]	%Input_act_m[2:1,9]	%Input_act_m[2:2,9]	%Input_act_m[2:0,10]	%Input_act_m[2:1,10]	%Input_act_m[2:2,10]	%Hidden_act_m[2:0,0]<2:10,10>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:4,0]	%Hidden_act_m[2:5,0]	%Hidden_act_m[2:6,0]	%Hidden_act_m[2:7,0]	%Hidden_act_m[2:8,0]	%Hidden_act_m[2:9,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:4,1]	%Hidden_act_m[2:5,1]	%Hidden_act_m[2:6,1]	%Hidden_act_m[2:7,1]	%Hidden_act_m[2:8,1]	%Hidden_act_m[2:9,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:4,2]	%Hidden_act_m[2:5,2]	%Hidden_act_m[2:6,2]	%Hidden_act_m[2:7,2]	%Hidden_act_m[2:8,2]	%Hidden_act_m[2:9,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Hidden_act_m[2:4,3]	%Hidden_act_m[2:5,3]	%Hidden_act_m[2:6,3]	%Hidden_act_m[2:7,3]	%Hidden_act_m[2:8,3]	%Hidden_act_m[2:9,3]	%Hidden_act_m[2:0,4]	%Hidden_act_m[2:1,4]	%Hidden_act_m[2:2,4]	%Hidden_act_m[2:3,4]	%Hidden_act_m[2:4,4]	%Hidden_act_m[2:5,4]	%Hidden_act_m[2:6,4]	%Hidden_act_m[2:7,4]	%Hidden_act_m[2:8,4]	%Hidden_act_m[2:9,4]	%Hidden_act_m[2:0,5]	%Hidden_act_m[2:1,5]	%Hidden_act_m[2:2,5]	%Hidden_act_m[2:3,5]	%Hidden_act_m[2:4,5]	%Hidden_act_m[2:5,5]	%Hidden_act_m[2:6,5]	%Hidden_act_m[2:7,5]	%Hidden_act_m[2:8,5]	%Hidden_act_m[2:9,5]	%Hidden_act_m[2:0,6]	%Hidden_act_m[2:1,6]	%Hidden_act_m[2:2,6]	%Hidden_act_m[2:3,6]	%Hidden_act_m[2:4,6]	%Hidden_act_m[2:5,6]	%Hidden_act_m[2:6,6]	%Hidden_act_m[2:7,6]	%Hidden_act_m[2:8,6]	%Hidden_act_m[2:9,6]	%Hidden_act_m[2:0,7]	%Hidden_act_m[2:1,7]	%Hidden_act_m[2:2,7]	%Hidden_act_m[2:3,7]	%Hidden_act_m[2:4,7]	%Hidden_act_m[2:5,7]	%Hidden_act_m[2:6,7]	%Hidden_act_m[2:7,7]	%Hidden_act_m[2:8,7]	%Hidden_act_m[2:9,7]	%Hidden_act_m[2:0,8]	%Hidden_act_m[2:1,8]	%Hidden_act_m[2:2,8]	%Hidden_act_m[2:3,8]	%Hidden_act_m[2:4,8]	%Hidden_act_m[2:5,8]	%Hidden_act_m[2:6,8]	%Hidden_act_m[2:7,8]	%Hidden_act_m[2:8,8]	%Hidden_act_m[2:9,8]	%Hidden_act_m[2:0,9]	%Hidden_act_m[2:1,9]	%Hidden_act_m[2:2,9]	%Hidden_act_m[2:3,9]	%Hidden_act_m[2:4,9]	%Hidden_act_m[2:5,9]	%Hidden_act_m[2:6,9]	%Hidden_act_m[2:7,9]	%Hidden_act_m[2:8,9]	%Hidden_act_m[2:9,9]	%Output_act_m[2:0,0]<2:3,11>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]	%Output_act_m[2:0,4]	%Output_act_m[2:1,4]	%Output_act_m[2:2,4]	%Output_act_m[2:0,5]	%Output_act_m[2:1,5]	%Output_act_m[2:2,5]	%Output_act_m[2:0,6]	%Output_act_m[2:1,6]	%Output_act_m[2:2,6]	%Output_act_m[2:0,7]	%Output_act_m[2:1,7]	%Output_act_m[2:2,7]	%Output_act_m[2:0,8]	%Output_act_m[2:1,8]	%Output_act_m[2:2,8]	%Output_act_m[2:0,9]	%Output_act_m[2:1,9]	%Output_act_m[2:2,9]	%Output_act_m[2:0,10]	%Output_act_m[2:1,10]	%Output_act_m[2:2,10]	%Last_I_act_m[2:0,0]<2:3,11>	%Last_I_act_m[2:1,0]	%Last_I_act_m[2:2,0]	%Last_I_act_m[2:0,1]	%Last_I_act_m[2:1,1]	%Last_I_act_m[2:2,1]	%Last_I_act_m[2:0,2]	%Last_I_act_m[2:1,2]	%Last_I_act_m[2:2,2]	%Last_I_act_m[2:0,3]	%Last_I_act_m[2:1,3]	%Last_I_act_m[2:2,3]	%Last_I_act_m[2:0,4]	%Last_I_act_m[2:1,4]	%Last_I_act_m[2:2,4]	%Last_I_act_m[2:0,5]	%Last_I_act_m[2:1,5]	%Last_I_act_m[2:2,5]	%Last_I_act_m[2:0,6]	%Last_I_act_m[2:1,6]	%Last_I_act_m[2:2,6]	%Last_I_act_m[2:0,7]	%Last_I_act_m[2:1,7]	%Last_I_act_m[2:2,7]	%Last_I_act_m[2:0,8]	%Last_I_act_m[2:1,8]	%Last_I_act_m[2:2,8]	%Last_I_act_m[2:0,9]	%Last_I_act_m[2:1,9]	%Last_I_act_m[2:2,9]	%Last_I_act_m[2:0,10]	%Last_I_act_m[2:1,10]	%Last_I_act_m[2:2,10]	%Voice_act_m[2:0,0]<2:2,1>	%Voice_act_m[2:1,0]
_D:	0	0	0	""	2	50	"G_H_A"	10.7492	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.56854e-14	0.653066	0.823278	0	8.48742e-05	0.843665	2.91361e-14	0	0.872343	0.099431	4.85361e-10	0.825732	0.874364	0.830092	0.101674	0	4.22429e-10	0.781425	0.473619	2.10314e-11	0	0	0.480535	0.226626	0.864898	0.855487	0.879093	0.0292462	0.816203	0	0.0532246	0.468791	0.86946	0.853174	0.616099	0.799228	0.828801	0	0	0.851004	0	0.00726835	0.895178	0	0	0.764591	1.36406e-06	0	0.886843	0.00106842	8.46734e-07	0	0.572818	0.906028	0.00334442	0.892652	0.593479	0	0.856681	0.000766404	0.00187343	0	0	0.138353	0.0152224	0.00181929	0.100327	0	0.00167886	0	0	0.796411	0.525135	0.87623	0.651936	0.863134	0.937476	0	0	0.0189767	0.697414	0.342466	0.0022301	0.0038932	0	0.804005	0.732279	0	0	7.26292e-10	0.89176	0	3.50761e-05	0	0.930726	0	1.13077e-09	0.897225	0	3.02176e-13	0.579909	0.577995	0.581334	0.577778	0.58036	0.582035	0.580552	0.578149	0.577123	0.580201	0.578555	0.578574	0.575404	0.580765	0.582009	0.580351	0.57463	0.580649	0.579154	0.579636	0.574686	0.581235	0.581428	0.580233	0.581482	0.582333	0.579719	0.580374	0.5825	0.578251	0.577495	0.578648	0.581028	0	0.00196768	8.5837e-12	0	4.60473e-05	0	0	0	0	0	0	0.1	1.89634e-12	0	0	0.00563644	3.52624e-12	0	0	6.19618e-06	1.16654e-10	0	0	0.000453094	0.00374325	0	3.312e-09	0	0.0744777	0.0394365	1.66512e-11	0	0	0.95	0
_D:	0	0	1	""	2	50	"H_I_A"	10.863	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900613	0	0.880228	0.810864	0.000123253	0.943944	0.889758	0.803192	0.931352	0.573244	0.737265	0.24942	0.0790138	0.000109825	0.909145	0	0	0.799205	0.965426	0.887055	1.64325e-06	0	0.961391	0	0.596873	0.949445	0.929058	0.510416	0.867077	0	0.813774	0.921007	0.922675	0.0684325	0.803126	0.946378	0.935106	0	0.881338	0.961132	7.08712e-12	0.950616	0.767213	9.71207e-05	0.00284359	0.000698914	0.910167	0.888622	0.911592	0.0551117	3.31033e-06	3.35119e-06	6.1166e-12	0.960711	1.10307e-06	0.931886	0.888456	6.82555e-12	0.922354	0.924495	0.00148449	0.853921	4.93055e-14	0.0133248	0.0001004	0.869867	0.497765	0.000174284	0	0.758126	0.875141	0.826585	4.64062e-10	0.24681	0.934614	0.91927	1.1687e-07	0.0634821	2.31938e-12	0.894123	2.10565e-10	0.730031	0.0527544	0.908015	0.0751731	4.0956e-06	0.919223	0.383737	0.0436987	0	0.948024	0.914103	0.0413704	0.953046	0.906115	0.429306	6.00209e-09	0.9502	0.0637007	0.943209	0.583282	0.580876	0.583533	0.580858	0.583053	0.58308	0.583551	0.581167	0.582453	0.583079	0.583117	0.58332	0.576337	0.582111	0.583694	0.581863	0.583116	0.583959	0.582865	0.583084	0.580127	0.582491	0.583564	0.583413	0.583676	0.583587	0.582734	0.583329	0.584186	0.583116	0.582706	0.582289	0.583273	4.11595e-13	0	0	0	9.37822e-12	0.000120352	0	0	0	0	1.57557e-09	0	0	0.852865	0	0	0	0	0	0.000107453	0	0	0	0.803438	0.00013725	2.93369e-11	0	3.98091e-11	0	0.876203	0	4.74073e-10	0	0.95	0
_D:	0	0	2	""	2	50	"I_D_A"	0.354369	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027108	0	6.3347e-12	8.50637e-09	0	0	0.00143863	0.843046	0.0154925	0.61982	0.822265	0.942716	2.19322e-09	0.837074	0.023921	0	0	0.837123	0.596176	0.501152	0	0	0.762247	0.808035	0.619138	0.00108152	0.819035	0.569573	0.791518	0.456078	0.899656	0.767805	0.649294	0.000188555	0.0209952	0	0.876307	0	0.650741	0.868687	0	0.839108	0.951144	0	0.00398703	1.31633e-09	0.850523	0.873507	0.889598	0.0624958	0	0.843023	0.904831	0.935534	0	0.00130215	0	4.24991e-06	0.904622	0.0951151	0	0.000350409	0.0467692	0.466251	0.742635	0.869081	0.00567542	0	1.49594e-10	0.505387	0	0.922613	5.82003e-05	0.92677	1.31233e-05	0.0833869	0.725875	2.17016e-07	0.0943881	0.928147	0.000310586	0.62087	0.937418	1.65275e-14	0.883177	0	0.0139298	0.836778	0	0	0.954662	0.551438	0.836079	0.793058	0.919025	0	0.000588381	0.825814	0.053006	0.00199289	0.406541	0.406274	0.406817	0.404711	0.406296	0.407284	0.406583	0.406843	0.406029	0.407629	0.405871	0.406911	0.400982	0.406064	0.407119	0.404481	0.406597	0.407455	0.407584	0.407192	0.404126	0.405801	0.406959	0.407317	0.407531	0.407251	0.407472	0.406648	0.406655	0.405396	0.40728	0.406772	0.406834	0	0.0635803	0	0	2.58303e-10	0	0	0	1.00742e-12	0	0	0.873045	2.95558e-10	0.0081497	4.28793e-05	2.31993e-09	0	0	8.46008e-13	0	0	0	0	0	0	0	0	0.0283325	7.84172e-13	4.2008e-12	0	0	6.62975e-10	0.95	0
_D:	0	0	3	""	2	50	"D_E_A"	0.352671	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.086233	0	0.767184	0	0	0	0.0681675	0.121632	0	0.752163	0	0.816008	2.9602e-13	0.193505	0.814139	0.755762	0.00366026	0.82774	0.695034	0	0	0	0.835999	0	0.788951	0.689019	0.683578	0.882057	0.181899	0.7595	0	0.918627	0.723074	0	0.862574	0	0.00335988	0	3.88746e-05	0.725911	0	0.859274	0.910373	0.141385	0	3.92956e-12	0.000101112	0.00066776	7.59327e-12	0.517287	0	0	0.708734	0.563837	0.00732262	0.853177	0	0	0.896338	0.0976762	0	0.0100347	0	0.919381	0.895643	0.868802	0	0	0	0.762868	6.80479e-05	0.306012	4.4292e-07	0.864932	0	0.80107	0.599969	8.15622e-11	0	0	7.58362e-12	0.597379	0.830389	0.016185	0	0	0.755751	0.282699	0	0	0.0163616	0.729518	0.781621	0.653378	0.9148	0	0.839209	0.913897	0	0.829664	0.40517	0.406212	0.406541	0.404542	0.406139	0.40651	0.405302	0.405679	0.404452	0.406311	0.403969	0.406043	0.389089	0.402069	0.406555	0.404223	0.40447	0.406742	0.405239	0.40553	0.403235	0.404797	0.406882	0.407221	0.406418	0.406113	0.406339	0.404945	0.407024	0.406609	0.405543	0.405571	0.405914	0	0	6.35526e-09	0	0	0	0	0	0	0	0	0	1.24357e-09	0	0	0	0	0	0	0.000567321	0	0.0424526	9.28096e-14	0	0	0.00161487	9.01463e-06	0.0445201	0.00223917	3.963e-10	2.48926e-08	0	0	0.95	0
_D:	0	0	4	""	2	50	"E_F_A"	10.8186	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403575	0.886472	0.943458	0	0.000809964	0.000184139	0	0.865027	0.93882	0.905784	0.0323014	0.805646	0.877282	0.598778	1.73976e-06	6.34202e-10	0	0.865275	0.936375	0.570879	0.756271	0.0690551	0.938274	0	0.91474	0.406808	0.0119173	0.745134	0.928989	0.890926	0.877721	0.00805978	0.756514	0.924326	0.000157883	0.00114014	0.943529	0	1.58178e-11	0.87453	0	0.916522	0.940098	0	0.052135	0	6.13179e-12	0.000714582	0.856112	0	7.58509e-05	3.72972e-11	0.891689	0.833403	0.92934	0.921717	0.000469923	8.68759e-06	0.00257031	0.95394	0	0.059653	0	0.817797	0.650369	0.516204	4.5352e-05	7.9007e-08	0.566752	1.20973e-05	0	0.928949	0.944479	0.941337	0.00280156	0.913147	0.558692	0	0	0.544691	0.828786	0.825007	0.720198	0.0066337	0	0.637526	0.884773	0.730466	0	0.00481558	0.93748	0.00151428	0.877038	0.947704	0.927751	0.137425	5.02953e-11	0.936168	0	0.809181	0.581305	0.581025	0.582255	0.581401	0.582319	0.582535	0.581099	0.582467	0.580837	0.582625	0.582628	0.579843	0.574101	0.581539	0.583174	0.580669	0.578715	0.582808	0.581886	0.582662	0.57538	0.581948	0.582703	0.58298	0.583136	0.582608	0.582201	0.582544	0.582527	0.582147	0.581016	0.581572	0.582107	0	0.92086	6.9559e-13	0	0	3.25319e-12	4.61991e-10	1.10783e-10	6.16764e-05	0	0	0	0	0	0	0.00291545	0	1.62352e-09	0	1.34423e-11	0.00832052	0	0	2.32716e-10	3.50032e-10	0	0	0	0	6.9834e-05	0.782392	0	0	0.95	0
_D:	0	0	5	""	2	50	"F_C_A"	10.875	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.920931	0.619626	0.806683	0.549066	0	0.000432515	0.896682	0.783051	0.546232	0.916249	8.40022e-08	0.854741	0.938705	0.873089	0.911683	0	0.61684	0.915977	0.0970905	0.828813	0	6.71941e-15	0.872721	0.0324591	0.910948	3.33759e-11	0.90261	2.67013e-11	0.564853	0.895839	0.0130706	0.940643	0.907355	0.0500156	0.876428	0.935045	0.934766	0.671758	0.0884499	0.913868	0.565952	0.800473	0.935908	0.037049	0.158806	0.000320558	0.735609	1.43674e-09	0.890647	0.82072	0	8.3514e-07	1.46236e-11	0.486268	0.923272	0.00769932	0	0.844631	0.961173	0.789528	0.227306	7.43977e-11	7.48224e-10	0.561393	0.915379	0.941289	0.777109	2.46568e-12	0.000599209	0.927674	0.734699	0.957943	0.906231	0.945756	0.942323	0.830661	0.943386	0.872613	6.97313e-08	4.94727e-08	0.786503	0.806763	0.922437	0.894192	0.000958581	0.673814	0.00183087	3.67664e-08	2.34139e-07	0.604236	0.96283	0.88925	0.551095	0.0162984	0.909883	0.253102	0.950057	0.895489	0.013592	0.828462	0.580533	0.582395	0.582762	0.583086	0.583115	0.584114	0.583789	0.582378	0.582489	0.582735	0.583136	0.58283	0.580782	0.58281	0.583454	0.583074	0.582005	0.584287	0.582704	0.583323	0.580719	0.582058	0.583358	0.583996	0.584002	0.583496	0.583777	0.583385	0.584455	0.582669	0.583451	0.582684	0.583659	0	0	0	0	0	0	0	0	0.936748	0	0	0	0.00693727	0	0	0	0	0	0.592227	0.489759	0.850809	0	2.40954e-12	0	1.38477e-09	0	0	0	6.88802e-12	0	0	0	0.00221477	0.95	0
_D:	0	0	6	""	2	50	"C_Y_B"	10.8452	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95002	0.956025	0.225314	0.00448013	0	0.925868	0.896007	0.961108	0.953065	0.945948	1.38897e-05	0.919867	0.0533901	0.713072	0.897964	0	0.885338	0.876601	0.0273854	0.924319	0.0249891	4.36315e-11	0.931506	0.49671	0.66183	0.909337	0.0732739	0.956602	3.65584e-08	0.00107062	0.931296	0.835635	0.58708	4.61825e-10	0.0362738	0.841896	0.040735	0.895726	0.0743833	8.98008e-05	6.45282e-10	0.743049	0.84147	0.743413	1.2681e-13	0.492151	1.85914e-06	0.943439	0.864726	0.874555	0.863683	0.804274	0.926699	0.910222	0.675742	0	0.000460972	2.40156e-08	0.931349	0.947669	0.0469067	0.133758	8.11207e-12	0.00525653	0.0190853	0.756949	2.32073e-13	0.467706	0.878832	0.0287833	9.20088e-11	2.51554e-09	3.36835e-11	0.600147	0.941411	0.887895	0.881616	0.89789	0.839912	0.938583	5.1129e-05	0	0.936544	0.966631	0.918715	0.0470028	0.92315	0.849808	0.000142591	8.54608e-12	0.958095	0.927562	0.943795	0.778051	0.0547088	2.11351e-12	0.0132585	1.55517e-05	8.23339e-10	5.7603e-13	0.582625	0.581452	0.583221	0.581236	0.581486	0.58299	0.582536	0.581236	0.581334	0.583062	0.582246	0.580155	0.576892	0.583145	0.582332	0.582281	0.581748	0.584415	0.582343	0.583499	0.580127	0.582156	0.583126	0.584127	0.581857	0.582124	0.58253	0.582662	0.583784	0.582438	0.580579	0.581962	0.583316	0	0	0	0	0	0	0	0	0	0	0	0.511371	0	0.931118	0.000452851	0	2.15132e-12	0	1.37997e-11	0	0	0	0	0.000165296	1.06601e-12	7.94056e-12	0	0	0	2.20615e-05	0	0.953247	0	0	0.95
_D:	0	0	7	""	2	50	"Y_Z_B"	10.8924	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0.0269227	0.81247	0.968614	0.688865	1.25228e-05	0.966401	0.643201	0.934634	0.944725	0.923065	0.848696	0.838745	0.827812	0.886877	0.920787	3.07794e-11	0.959565	0.95999	0.819287	0.75784	1.07663e-09	0.828458	0.899741	0.909449	0.00235207	0.918627	0.869669	0.954873	0.936339	0.858124	0.948357	1.23892e-05	0.922923	0.859146	0.946633	0.787063	0.929675	5.34892e-08	0.665987	0.92244	0.811073	0.902943	0.92052	0.891656	0.00301613	0	0.0963981	0.000180411	0.92735	0.955783	0.775656	3.83846e-05	0.954428	0.91455	0.957998	0.870894	0.904676	0.867696	2.15997e-05	0.396013	0.933661	0.0188542	0.714227	0.0113445	0.955184	0.0416171	1.72734e-09	0.810048	0.946291	0.904191	0	0.690345	0.0538312	0.694947	0.958497	0.49756	0.911107	3.53261e-11	0.00248256	0.00368177	0.525937	0.00486809	0.485546	0.0330332	0.945539	0.0779851	0.94452	0.864116	0.00480227	0.918494	0.851956	0.916631	0.00317074	0.768083	0.00694258	0	0.792737	0.964346	0.940832	0.0574459	0.583315	0.583561	0.584226	0.581847	0.584324	0.58428	0.583539	0.581739	0.582854	0.583894	0.583145	0.583538	0.581674	0.583529	0.584246	0.583187	0.58287	0.584715	0.58168	0.583739	0.581377	0.583249	0.583754	0.584269	0.584263	0.583718	0.583574	0.584457	0.584309	0.583039	0.583893	0.583302	0.584237	0	0	0	0.895431	0	5.61146e-13	0	0	0	2.10022e-10	0.876989	0	0	0	0.904839	0	0	0.667318	9.32688e-13	4.27671e-12	0	1.16091e-10	0	0	0	0	7.16506e-12	0	0	0	0	0.631984	0	0	0.95
_D:	0	0	8	""	2	50	"Z_A_B"	10.8472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0.827457	0.910302	1.61105e-06	0.610929	0	0.0289156	0.839359	0.941077	0.936643	0.937391	0	0.0056088	0.951256	0.000286662	0.843338	0	0.00182314	0.923561	0.0817057	0.885898	0	0.933459	0.928955	8.62293e-08	0.0826575	0.925689	0.929838	0.905953	0.00661105	0.000530579	0.836549	0.87076	0.909124	0.884176	0.954652	0.897815	0.00016801	0.941043	0.949407	0.690376	0.00762676	0.883455	1.30624e-05	0.000326703	0	0.915845	0.120951	0.934089	0.913047	2.12644e-10	0	0.902162	0.91646	0.77736	0.903092	0.89036	6.6947e-12	0.000820734	0.897452	0.903389	0.863736	0.00100777	4.48252e-08	0	0.929456	0	0.767039	0.00153259	0.081653	0.000204398	0.127086	0.873991	0.727576	0.87423	0.956849	0.938683	1.02767e-07	0.0344128	1.16813e-05	0.915884	0.461592	3.98898e-08	0.957128	0.963423	0.859639	0.000394639	0.000173551	0.00061126	0.000898993	2.86293e-12	0.941983	1.76527e-11	0.605494	0.920755	0.876806	0.84627	0.668637	0.949471	0	0.694453	0.580693	0.581975	0.583759	0.581294	0.582245	0.583286	0.582749	0.582272	0.582073	0.582446	0.582944	0.58178	0.575905	0.581565	0.581587	0.582079	0.581979	0.583919	0.580374	0.583092	0.580222	0.582502	0.582936	0.583132	0.583852	0.583011	0.58243	0.582892	0.584113	0.582347	0.581189	0.58182	0.583073	0	0	0	0	0	0.0480048	0	0	0	5.28111e-11	0	1.69867e-10	4.8816e-15	0.753934	0	0	0	0	0	0.950918	0	0	0	0	0	7.86128e-14	0	0	0.0133557	0	0.813509	0	5.28434e-11	0	0.95
_D:	0	0	9	""	2	50	"A_B_A"	0.35657	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89263	0.0422165	0	0	0	0	1.71871e-10	1.96701e-05	0	0.583286	9.32146e-12	0	0	0	0.00374615	0.270932	0.779706	2.52889e-12	0	2.44646e-10	0.86141	0.0190584	0.902908	0.884625	0	0.608808	0.892666	0.676172	0.000432521	0.620761	0.891425	1.98065e-11	0.00324223	0.000424148	8.53141e-07	0	7.62663e-10	0.830348	0	5.6768e-10	0.880355	1.83051e-05	3.89817e-10	0	0.853999	0	0.446334	0.0287058	0.809773	1.21339e-06	0.675288	0.878476	0	0.907099	0	1.61765e-12	0.0632121	0.900875	6.46072e-05	0.733215	0	0.817318	0.904224	0.803729	0.13968	0	0	0.0679945	0	2.6638e-10	4.22689e-14	0.879451	0.735766	0.809451	0.766285	1.02821e-11	0.36622	0.70979	0.841708	0.83276	0.752656	9.93227e-06	0.0831711	2.95784e-12	0.785333	1.16577e-12	0	0	0.896568	0.00402098	0.822031	0.878309	0.924916	0	0.185064	0.929696	0.0675085	0.000633955	0.405622	0.402866	0.405525	0.404593	0.405633	0.406372	0.405108	0.401085	0.403886	0.4041	0.404937	0.40523	0.376345	0.400161	0.406988	0.402772	0.401376	0.405991	0.404333	0.402677	0.396966	0.405506	0.405113	0.405791	0.40619	0.406738	0.405133	0.403651	0.40678	0.402271	0.39889	0.403557	0.405109	0.0419683	6.06735e-15	1.68493e-09	0.0701462	0	0	0	0	3.14648e-10	0.012136	0.00184793	0	5.85583e-10	0	0	5.14181e-13	0	0	2.86404e-09	0	2.75486e-10	0	0	0.0109229	1.22624e-12	0	0.000647707	0	3.65079e-10	2.32335e-15	0	0	0	0.95	0
_D:	0	0	10	""	2	50	"B_C_A"	10.8445	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.26694e-06	1.99435e-11	0.954667	1.447e-11	0	0.913417	0.888636	0.101111	0.928098	0.0273205	7.84503e-11	0.00033335	0.917912	0.0143553	1.81207e-12	1.88599e-05	0.53349	0.849802	0.927203	0.85199	0.784551	0	0.786632	0.769125	7.73376e-05	5.99172e-09	0.000895197	0.927057	0.946289	0.822936	0.893294	3.84538e-06	0.685247	0.82934	3.48349e-08	8.37118e-06	0.903088	0	0.610476	0.800688	0.905007	0.839836	0.00573877	0.913127	8.0479e-05	3.02066e-13	0.687584	0.745527	0.913996	0.665535	7.76204e-10	0.00176063	0.40847	0.831668	0.916156	0.848805	0	0.687194	6.91367e-08	0.886727	0.835233	5.3235e-11	0.654725	0.843242	0.929724	0.909972	0.0242283	1.83782e-12	0	0.78241	1.2529e-06	0.897116	0.932838	0.812262	0.895231	0.94425	0.90137	0.72586	0.303046	0.838565	0.809664	0.921968	0.691582	6.78912e-12	0.00304619	0.0665145	0.643015	0.924432	0.000109818	0.919456	0.91446	5.49274e-12	0.140917	0.767505	0.944081	0.875236	0.858819	0.029592	0.407185	0.597548	0.582221	0.58205	0.582897	0.58268	0.582497	0.583096	0.581741	0.580938	0.581225	0.582381	0.582483	0.581044	0.580269	0.581779	0.583489	0.57859	0.580572	0.584098	0.581966	0.583487	0.581383	0.58068	0.5828	0.582807	0.583517	0.583428	0.582821	0.583713	0.582706	0.581939	0.582657	0.580988	0.582535	0	0.82358	0	0	0	5.57734e-12	0	0	0	0	0.741912	0	0.801435	2.13871e-14	0	0	0	0.00360533	2.66747e-13	0	5.17947e-09	0	3.1536e-11	1.06858e-13	0.000138027	7.49299e-13	0	0.0480216	0	0	0	0	0	0.95	0
