_H:	|batch	|epoch	|trial	$trial_name	$group_name	|phase_no	%minus_cycles	%sse	%ext_rew	%Input_act_m[2:0,0]<2:3,11>	%Input_act_m[2:1,0]	%Input_act_m[2:2,0]	%Input_act_m[2:0,1]	%Input_act_m[2:1,1]	%Input_act_m[2:2,1]	%Input_act_m[2:0,2]	%Input_act_m[2:1,2]	%Input_act_m[2:2,2]	%Input_act_m[2:0,3]	%Input_act_m[2:1,3]	%Input_act_m[2:2,3]	%Input_act_m[2:0,4]	%Input_act_m[2:1,4]	%Input_act_m[2:2,4]	%Input_act_m[2:0,5]	%Input_act_m[2:1,5]	%Input_act_m[2:2,5]	%Input_act_m[2:0,6]	%Input_act_m[2:1,6]	%Input_act_m[2:2,6]	%Input_act_m[2:0,7]	%Input_act_m[2:1,7]	%Input_act_m[2:2,7]	%Input_act_m[2:0,8]	%Input_act_m[2:1,8]	%Input_act_m[2:2,8]	%Input_act_m[2:0,9]	%Input_act_m[2:1,9]	%Input_act_m[2:2,9]	%Input_act_m[2:0,10]	%Input_act_m[2:1,10]	%Input_act_m[2:2,10]	%Hidden_act_m[2:0,0]<2:10,10>	%Hidden_act_m[2:1,0]	%Hidden_act_m[2:2,0]	%Hidden_act_m[2:3,0]	%Hidden_act_m[2:4,0]	%Hidden_act_m[2:5,0]	%Hidden_act_m[2:6,0]	%Hidden_act_m[2:7,0]	%Hidden_act_m[2:8,0]	%Hidden_act_m[2:9,0]	%Hidden_act_m[2:0,1]	%Hidden_act_m[2:1,1]	%Hidden_act_m[2:2,1]	%Hidden_act_m[2:3,1]	%Hidden_act_m[2:4,1]	%Hidden_act_m[2:5,1]	%Hidden_act_m[2:6,1]	%Hidden_act_m[2:7,1]	%Hidden_act_m[2:8,1]	%Hidden_act_m[2:9,1]	%Hidden_act_m[2:0,2]	%Hidden_act_m[2:1,2]	%Hidden_act_m[2:2,2]	%Hidden_act_m[2:3,2]	%Hidden_act_m[2:4,2]	%Hidden_act_m[2:5,2]	%Hidden_act_m[2:6,2]	%Hidden_act_m[2:7,2]	%Hidden_act_m[2:8,2]	%Hidden_act_m[2:9,2]	%Hidden_act_m[2:0,3]	%Hidden_act_m[2:1,3]	%Hidden_act_m[2:2,3]	%Hidden_act_m[2:3,3]	%Hidden_act_m[2:4,3]	%Hidden_act_m[2:5,3]	%Hidden_act_m[2:6,3]	%Hidden_act_m[2:7,3]	%Hidden_act_m[2:8,3]	%Hidden_act_m[2:9,3]	%Hidden_act_m[2:0,4]	%Hidden_act_m[2:1,4]	%Hidden_act_m[2:2,4]	%Hidden_act_m[2:3,4]	%Hidden_act_m[2:4,4]	%Hidden_act_m[2:5,4]	%Hidden_act_m[2:6,4]	%Hidden_act_m[2:7,4]	%Hidden_act_m[2:8,4]	%Hidden_act_m[2:9,4]	%Hidden_act_m[2:0,5]	%Hidden_act_m[2:1,5]	%Hidden_act_m[2:2,5]	%Hidden_act_m[2:3,5]	%Hidden_act_m[2:4,5]	%Hidden_act_m[2:5,5]	%Hidden_act_m[2:6,5]	%Hidden_act_m[2:7,5]	%Hidden_act_m[2:8,5]	%Hidden_act_m[2:9,5]	%Hidden_act_m[2:0,6]	%Hidden_act_m[2:1,6]	%Hidden_act_m[2:2,6]	%Hidden_act_m[2:3,6]	%Hidden_act_m[2:4,6]	%Hidden_act_m[2:5,6]	%Hidden_act_m[2:6,6]	%Hidden_act_m[2:7,6]	%Hidden_act_m[2:8,6]	%Hidden_act_m[2:9,6]	%Hidden_act_m[2:0,7]	%Hidden_act_m[2:1,7]	%Hidden_act_m[2:2,7]	%Hidden_act_m[2:3,7]	%Hidden_act_m[2:4,7]	%Hidden_act_m[2:5,7]	%Hidden_act_m[2:6,7]	%Hidden_act_m[2:7,7]	%Hidden_act_m[2:8,7]	%Hidden_act_m[2:9,7]	%Hidden_act_m[2:0,8]	%Hidden_act_m[2:1,8]	%Hidden_act_m[2:2,8]	%Hidden_act_m[2:3,8]	%Hidden_act_m[2:4,8]	%Hidden_act_m[2:5,8]	%Hidden_act_m[2:6,8]	%Hidden_act_m[2:7,8]	%Hidden_act_m[2:8,8]	%Hidden_act_m[2:9,8]	%Hidden_act_m[2:0,9]	%Hidden_act_m[2:1,9]	%Hidden_act_m[2:2,9]	%Hidden_act_m[2:3,9]	%Hidden_act_m[2:4,9]	%Hidden_act_m[2:5,9]	%Hidden_act_m[2:6,9]	%Hidden_act_m[2:7,9]	%Hidden_act_m[2:8,9]	%Hidden_act_m[2:9,9]	%Output_act_m[2:0,0]<2:3,11>	%Output_act_m[2:1,0]	%Output_act_m[2:2,0]	%Output_act_m[2:0,1]	%Output_act_m[2:1,1]	%Output_act_m[2:2,1]	%Output_act_m[2:0,2]	%Output_act_m[2:1,2]	%Output_act_m[2:2,2]	%Output_act_m[2:0,3]	%Output_act_m[2:1,3]	%Output_act_m[2:2,3]	%Output_act_m[2:0,4]	%Output_act_m[2:1,4]	%Output_act_m[2:2,4]	%Output_act_m[2:0,5]	%Output_act_m[2:1,5]	%Output_act_m[2:2,5]	%Output_act_m[2:0,6]	%Output_act_m[2:1,6]	%Output_act_m[2:2,6]	%Output_act_m[2:0,7]	%Output_act_m[2:1,7]	%Output_act_m[2:2,7]	%Output_act_m[2:0,8]	%Output_act_m[2:1,8]	%Output_act_m[2:2,8]	%Output_act_m[2:0,9]	%Output_act_m[2:1,9]	%Output_act_m[2:2,9]	%Output_act_m[2:0,10]	%Output_act_m[2:1,10]	%Output_act_m[2:2,10]	%Last_I_act_m[2:0,0]<2:3,11>	%Last_I_act_m[2:1,0]	%Last_I_act_m[2:2,0]	%Last_I_act_m[2:0,1]	%Last_I_act_m[2:1,1]	%Last_I_act_m[2:2,1]	%Last_I_act_m[2:0,2]	%Last_I_act_m[2:1,2]	%Last_I_act_m[2:2,2]	%Last_I_act_m[2:0,3]	%Last_I_act_m[2:1,3]	%Last_I_act_m[2:2,3]	%Last_I_act_m[2:0,4]	%Last_I_act_m[2:1,4]	%Last_I_act_m[2:2,4]	%Last_I_act_m[2:0,5]	%Last_I_act_m[2:1,5]	%Last_I_act_m[2:2,5]	%Last_I_act_m[2:0,6]	%Last_I_act_m[2:1,6]	%Last_I_act_m[2:2,6]	%Last_I_act_m[2:0,7]	%Last_I_act_m[2:1,7]	%Last_I_act_m[2:2,7]	%Last_I_act_m[2:0,8]	%Last_I_act_m[2:1,8]	%Last_I_act_m[2:2,8]	%Last_I_act_m[2:0,9]	%Last_I_act_m[2:1,9]	%Last_I_act_m[2:2,9]	%Last_I_act_m[2:0,10]	%Last_I_act_m[2:1,10]	%Last_I_act_m[2:2,10]
_D:	0	0	0	"G_H"	""	2	50	0.349494	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.912374	0.95002	0.411063	0.935715	0	0	0.14755	0	0	0	0.895601	0.870228	0	0.954189	0	0.952064	0.828004	0	0.908718	0	0.95532	0.926614	0.95406	0.630537	0.0149839	0.570761	0.018311	0	0	0	0.935365	0.88283	0	0.932328	0	2.49277e-08	0	0.949827	4.4061e-09	4.98317e-07	0.00408425	4.9007e-09	0.957818	0	0	0.765007	0	0.940016	0	0	0.078954	0	0.91564	0.927612	0.0109849	0.953703	0.826247	0.946683	0.947525	5.05552e-07	0.940773	0.942007	0	0.953272	0.943892	0.929206	0.903891	0	0	0.848224	0.913009	0.938294	0.943893	0.509803	0.942177	1.10398e-13	0.801515	0.0179342	0.00153227	0.952493	0.649776	0.40278	0	0	0.929379	0	0	0.95026	0.631308	0	1.0895e-09	0.629403	0	0	0.816949	0.955398	0	0	0	0.406993	0.407706	0.407456	0.408274	0.4081	0.407121	0.406399	0.408819	0.407777	0.407063	0.407921	0.407172	0.403985	0.408845	0.407951	0.405295	0.407374	0.40788	0.40618	0.408572	0.407804	0.408774	0.40827	0.407775	0.407648	0.407675	0.405922	0.405015	0.405989	0.407767	0.407883	0.407311	0.404567	0.0184496	0	0	0.00653208	0	0.976537	0.712747	0.975599	0	0	0.937486	0.950022	0	0	0.966093	0	0	1.70239e-10	7.52991e-11	0.800228	0.954309	0.972897	0.805818	0.967887	0	0	7.10593e-11	0.976002	0.957474	0.00092583	0.906284	0	0.976089
_D:	0	0	1	"H_I"	""	2	50	0.350458	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.920495	0	0.921959	1.35443e-09	0	0	0.951175	0.929353	0.448055	0	0.909	0	8.6393e-06	0	2.30546e-06	4.22265e-09	0.958728	0	0.9004	0.931606	0	0.95818	1.66475e-09	0.881706	0	0	0	0.380158	0.00358678	0	0	0	0.946265	0.93555	0	0.93314	0.958208	1.87979e-09	1.2644e-12	1.22462e-09	3.1197e-11	8.93472e-13	0.934438	0.0824759	0.594006	0.00191529	0.585457	0	0.574937	0.258796	0.917755	0	0	0.423799	0	7.16822e-13	0	0	0.880937	0	0	0.834353	0.0223269	0	0.940459	0.87972	1.2281e-09	0	0.953317	0.934254	0.952468	0	0.91854	0	0.950051	0.958226	0	0.956037	0.894876	0.917972	0	0	0.939702	0.71695	0.783932	3.23977e-14	0	0.907487	0.930119	0	0	0.937934	0.956525	0.631338	0.920538	0	0.899958	0.939546	0.956953	0.956156	0.407469	0.407753	0.406747	0.408262	0.407447	0.407249	0.407951	0.408319	0.408005	0.406646	0.405566	0.407701	0.405673	0.408392	0.406436	0.404424	0.407319	0.408441	0.406602	0.407876	0.407325	0.407362	0.408414	0.406398	0.406657	0.40709	0.407298	0.406273	0.406533	0.407105	0.407109	0.408221	0.404877	0.97545	0	2.78813e-10	9.27947e-12	0.979005	0	0	0.933966	0.860647	0	0.0610643	0	0	0.951026	0	8.06286e-05	0.98027	0.851056	0.973716	0.953152	0.959167	0.980493	1.43827e-05	0.0101301	0	0.0778404	0	0.913571	0	0.0141504	0	0	0
_D:	0	0	2	"I_D"	""	2	50	0.350057	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000626425	0	0	0.920671	0	0.944703	0.939716	0.943193	0.832784	0.878515	0	0.905923	0	2.23204e-08	0.944919	0.948983	0.721944	0	0.865423	1.30416e-17	0	0	0.946425	0	0.93352	0	0.00207662	6.36001e-09	0.949525	0.848486	8.74107e-11	0	9.69022e-10	0.504949	0.910558	0.896748	0.841367	0	6.01393e-06	0.574072	0	0	0	6.75968e-10	0.0219539	0	0.883253	0	0.841363	0.0346556	0.912065	0.904483	0.938417	0.668847	0.946469	0	0.715433	0.83879	0	0	0.930866	0.740488	0.360866	0	0.862423	0.85496	0	0	0.917726	0.944275	0	2.66194e-11	5.75964e-06	0	0.943062	0	0.946333	0.876198	0	3.29493e-11	0.00238957	0.934631	0	0.909021	0.943557	0	0.951123	0.915147	0.940585	0.0536124	0	0.906024	0.950185	0.8058	0.655082	5.86598e-08	0.919078	0.704206	5.94905e-11	0.937529	0.407388	0.407902	0.406509	0.408344	0.40749	0.407521	0.407453	0.408846	0.408236	0.407712	0.406294	0.407982	0.404716	0.408495	0.407868	0.406637	0.407105	0.407675	0.407202	0.407971	0.408474	0.408274	0.408099	0.407363	0.407958	0.407259	0.406691	0.406206	0.407339	0.407318	0.407477	0.407961	0.404251	0	0.831055	0	0	0.981616	0.978525	0.969605	1.655e-13	0.976651	0	0.946221	0	1.76301e-13	0	0	0	0.969991	0	0.979278	0.00331402	0	0.980746	1.49832e-05	0.954157	0.960738	0.0712194	0	0	0.980856	3.69592e-11	0.890942	0	0
_D:	0	0	3	"D_E"	""	2	50	1.99046	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000569895	0.85988	0.954167	0.884403	3.1009e-09	0	0	5.88565e-13	0	0.00805314	2.85849e-09	0.859069	0	0.000767896	0.955156	5.18617e-11	0	0.898594	6.58846e-11	0.000183349	0.94457	0	0.65331	0.0575776	0	3.96101e-13	0.957318	0.943859	0.921309	0.510174	0.00990793	0.573339	0	0	0.957502	0	0	0.915862	0	0.92627	0.930186	0	0.939438	0	2.99733e-09	0	0	0.00224624	0.961121	0.950256	0	0	0.897533	0	0.949433	5.28729e-10	0.791026	0.939833	0.917363	0	0.00908441	0.000271188	0.000445163	0.885058	0	0	0	0.939414	0.961639	0	5.73307e-10	0.813347	0	0.952983	0	0.592703	8.71258e-05	0.0144506	0.951318	2.26016e-11	0	0.956425	0.960262	0.958627	3.15458e-09	0	0.9392	0.867571	0	0.0101924	0.962569	0.935601	0	0	0	0.955974	0.931892	0.951502	0.893498	0.406829	0.40646	0.577648	0.408716	0.40752	0.407223	0.407718	0.407702	0.407053	0.40628	0.407443	0.407566	0.576611	0.407426	0.575449	0.405663	0.407317	0.406562	0.406036	0.579094	0.406344	0.406919	0.40793	0.406424	0.407297	0.406379	0.407118	0.406202	0.406393	0.406519	0.406461	0.407302	0.553879	0.00758161	0.981109	0.969383	0	0	0	0	1.27555e-14	0.969809	0.979592	0	0	0	4.20332e-11	1.11789e-11	0	0.893794	0.971945	0.966205	0.00857621	0.975804	0.977813	0	0.00107683	0.982148	0	0.978476	0.0507865	8.32714e-05	0	0.918695	0	0
_D:	0	0	4	"E_F"	""	2	50	0.351715	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109506	0.958846	0.94077	0.787968	0.921247	0.887627	0	0.737241	0	0.953129	0	8.8473e-10	6.79429e-09	0.00885851	0	0	3.22359e-08	0.957826	0.886062	0	0.928238	0.420695	0.958504	0.842024	0.940382	0.950109	0.949208	0	0.000287212	0.739796	0	0	0.774892	5.72117e-10	0.925239	0.910229	0.920379	0	0.674561	0	0.89843	0	0.929848	0	0	0.88863	0.954257	0.629878	0.938223	0.956895	0	0.937982	0.00270385	0.443922	0	0.864582	0	0.949308	1.98237e-09	0	0.348149	0.840396	0.319802	0	0.458201	0	0.934169	0	0.000881366	0.896156	0	0	0.92593	0	0.951076	0	0.942611	0.85625	0.956091	0	0	0	0	0.660371	0	0.755461	0	0.938439	0	0.00882936	0.437658	0	3.0704e-13	0.928814	0	1.06437e-13	0.899937	0.93819	0	0.407362	0.407709	0.405235	0.408168	0.406779	0.406944	0.407972	0.408529	0.407188	0.406147	0.406993	0.40625	0.40637	0.408218	0.406856	0.407257	0.407013	0.407502	0.407247	0.408231	0.407819	0.407219	0.407722	0.406414	0.406219	0.406985	0.406695	0.406934	0.406948	0.407317	0.407159	0.40716	0.406424	0	0.957531	0	0.000237605	0	0.914354	0	0.979381	0.975359	0	0.0762171	6.81533e-12	0	0	0	0.939027	0	0.0217103	0	0.00858685	0	0.976579	4.77758e-12	0.982921	0.984756	0	0	0	0	0.982823	6.97743e-05	0.000433778	0.973153
_D:	0	0	5	"F_C"	""	2	50	0.35305	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.711921	0.460811	0.953763	0.926845	0	0	0	0.934567	0	0.927278	0	0.00875795	0	0	5.23598e-07	0.955819	0	0.894318	0.230482	0	0	0	0	0	1.55565e-05	0.941639	0	0.908282	0	0.00346538	0.501663	0.935587	0	0.268413	0	0.926943	0.883461	0.946774	0	1.72153e-09	3.63996e-09	0.863463	2.11075e-11	0.949385	0	0.885015	0.95245	0.47774	5.10931e-09	0	0	0.763097	0.906811	0.953683	0	0.857368	0	0.954735	0.937002	0.943333	0.736406	0	0	0.950049	0	0.950076	0	0	0.819249	0.929106	0	0	0.609972	0.865288	0.949722	0	0.00410844	0.944594	0	0.957137	3.94333e-10	0.955293	0.912427	0.910735	3.38489e-08	0.0918696	0	0.905768	0.896021	0.951744	0	0	0.906027	0.955049	0	0	0.913129	0.874903	0.956586	0.407802	0.407669	0.40582	0.407322	0.40806	0.408355	0.407205	0.408362	0.406377	0.407621	0.405958	0.406883	0.403169	0.407898	0.407539	0.406453	0.407084	0.408343	0.407352	0.408047	0.407885	0.408378	0.408646	0.406964	0.406134	0.406776	0.406999	0.405439	0.404043	0.406715	0.406752	0.40592	0.405748	0	0	0	0.00196949	0	0.775862	0	0	0.000169677	0.976292	0.962956	0.951397	0.689323	0	0	3.58997e-14	0	0.948182	1.86308e-10	0.953144	1.78392e-10	0.945426	0.709391	0.968874	0	0.967401	0.973639	0.978744	0.971853	0	0	8.40318e-05	0
_D:	0	0	6	"C_Y"	""	2	50	0.351549	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952893	4.41158e-07	0	0	0.674895	0.892333	0	0	0.938698	0.903561	0.954151	0	2.44865e-09	0	5.28229e-05	7.68686e-09	0.936338	0.798402	0.773962	0.437927	0.797793	0.019001	0.587551	0	0.444021	0.919878	0.930043	0.949778	0.747563	0.158345	0.910163	0	0.946768	0	0.874587	2.36333e-10	1.14507e-10	0.429625	1.46261e-05	0	0.00235948	0.943885	9.1509e-07	0	0	0.880916	0.865993	0	0.954258	0.877416	0.944097	0	0.848431	0.946648	1.37043e-14	0.908803	0.000201105	9.64284e-10	0	0.919283	0.917687	0.000351747	0.916212	0.882304	0.000143806	2.0563e-12	0	0.897445	1.85434e-10	0.904302	0	0	3.34675e-09	0	0	0.820984	0	0.123325	0.958604	0.94071	0	0.941438	0.83707	0.940285	0.426727	0	0.920112	0	0.928639	0	0.932072	0.908549	0	0	0.957572	0	0.95853	0	0	0	0.406126	0.407842	0.40609	0.407717	0.408107	0.408064	0.408074	0.40872	0.406575	0.406959	0.406042	0.405136	0.404576	0.408288	0.407385	0.405805	0.406229	0.407613	0.406646	0.407663	0.408488	0.406684	0.40743	0.406647	0.407085	0.404396	0.405349	0.406815	0.406868	0.406951	0.40692	0.407612	0.404122	0	0.959161	0.955585	0.738453	0	0	0	0.000172131	0	0	0.934777	0.000140478	0	1.3038e-10	0.976899	0.951568	0	2.54501e-07	0.957703	0.976668	0.891919	0	5.12672e-10	0.0286045	0	0.000489032	0	0.980295	0	0.986242	0	0.962824	0
_D:	0	0	7	"Y_Z"	""	2	50	0.352739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0.00317212	0.954405	0	0.936435	5.72094e-07	0	0.916198	0	0	0.904291	0.886388	0	0	1.06818e-10	0.800808	0	0.901196	0.956492	0.935754	0.672149	0.867349	0.953966	0	0.956375	0.833831	0.834093	0.759291	0.00809664	0	0.0307756	1.09025e-09	0.181542	0.685639	0	4.46779e-10	0.953171	0.888545	0	0.00751691	0.899881	0	0	0	0.931594	0.000408297	0.940481	0.679315	0.910978	0	1.79404e-13	0	0.796634	3.1664e-09	0.94986	0.0114902	0	0.853892	0.279379	0	0.703165	0	0.0259426	0.955529	0	0	0	0.937049	0.868545	0.943696	0.949777	0.605749	8.59925e-06	0.682307	0.884607	0.915306	0	0.696015	0	0.851169	0.927192	0.884113	0.764983	0.941749	0.954282	0	0.770478	7.80088e-10	0.914649	0	3.18035e-10	0.950461	0	0	0.94444	0	0.945603	1.2897e-11	3.84873e-10	0.761408	0	0.405482	0.407443	0.407404	0.4083	0.408365	0.407954	0.407644	0.408982	0.406899	0.407477	0.407912	0.407058	0.405163	0.407994	0.405528	0.404087	0.407403	0.408049	0.406346	0.407077	0.408561	0.4077	0.407563	0.405759	0.407268	0.406081	0.406626	0.405186	0.406638	0.406849	0.407148	0.407395	0.4053	0.974289	0.886913	0	0.966025	0	0.0033147	0.0231792	0	1.62575e-11	1.02034e-12	0.000165288	0.973873	0.97908	0.000174442	8.72956e-05	0.088676	0	0.975472	0	0.948166	0	0.920091	0.976081	0	0	0.932525	0.970035	0	0	0.969314	0	0.803645	1.15382e-05
_D:	0	0	8	"Z_A"	""	2	50	0.352331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0.898474	4.95384e-10	0.379334	0	0	0.813941	0	0	8.47714e-13	1.50705e-10	0.955869	0.942206	0	0.948899	0.946165	0.923474	3.57883e-11	0	0	0.954589	0.887663	0	0.491443	0.94314	0.000589279	0.915736	0.923149	0	0	2.13892e-12	7.4758e-10	0.358132	0	0	0	6.00784e-13	0	2.48489e-09	0	0.910878	0	0.713306	0	0.766195	0.957544	0	0	0.933265	0.00292727	0.945704	0	0	0.0728809	1.94951e-09	0.643587	0.95775	0.954231	0.911362	0.320683	0.642033	0.852727	0.321443	0.928072	0.917214	0	0	6.6851e-05	0	0.908701	6.28668e-10	0	0	0.318381	0.944316	0.936518	0	0.429267	0.848224	2.8519e-12	0.83111	0.939109	0.465912	0.954548	0.882737	0.000464572	0	0.819674	0	0.904062	0	0.234747	0.000969492	0.956136	0.902086	0.941106	0.914319	0.946802	9.10514e-12	0.85374	0.947749	0.406425	0.407683	0.406767	0.405107	0.407833	0.407685	0.407875	0.407923	0.405997	0.406171	0.407416	0.407177	0.405975	0.407982	0.404586	0.405699	0.4082	0.40712	0.40454	0.407162	0.408285	0.407629	0.407625	0.406467	0.406809	0.406237	0.406089	0.404968	0.405899	0.40712	0.407505	0.408057	0.402623	0	0	8.27929e-15	0.959982	0.830126	0.000669448	9.86182e-10	0	0.933647	0	1.07631e-09	0.899992	0.976931	0	0	9.00458e-11	0	0	0.982638	0.976359	0	0.961266	0.950349	4.38272e-11	0.973089	0.87793	0	0.970209	0.0371869	0	0.77894	0.980928	0
_D:	0	0	9	"A_B"	""	2	50	0.351847	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.317572	0	0.93964	0.94907	0	0.81662	0.940456	0.948972	1.03296e-10	0.740516	3.54495e-06	0.0130094	0.895049	0	0.647465	0	1.34403e-11	0.584614	0	0	0.646851	0	0.0288276	0.957589	1.18907e-10	0.00013453	0.959561	1.18009e-11	1.09109e-09	0	0.943553	4.41384e-11	0	0	0.372615	0.90638	0	0.956974	0.901859	0.951101	0.948802	0.937806	0.924376	0	0	0.591827	0.00975119	0	5.83744e-11	0.415424	0	0	0	0.909298	0.958655	0.946301	8.32966e-09	0.161965	0.66533	0.904798	0.957678	0	0.96036	0	0	0.916238	0.404096	0	0.764383	0.940929	0	0	0.941286	0.000764665	0	0.958573	0.931212	0.00108298	0.917354	0.675742	0.0837167	0.876632	0.931687	0	0.876215	0	0.783189	0.851941	0.737612	0	0	0.00140452	0.784609	0.936699	0.78311	0	0	0.911015	0.406169	0.406833	0.407582	0.408046	0.407222	0.407745	0.407365	0.408071	0.406124	0.407699	0.405049	0.405629	0.401423	0.408471	0.406971	0.406058	0.407452	0.406486	0.404312	0.407059	0.407617	0.407708	0.407796	0.40745	0.407037	0.40673	0.404042	0.404871	0.406922	0.406988	0.406557	0.406226	0.405371	0	0.892363	0.98102	0.946308	1.98405e-13	0.981812	0	0.00431303	0	7.24422e-07	0	0.687341	0	0.000886562	0	0	0.978834	0.871012	0.984342	0.00111101	0	0	6.76601e-13	0.97607	0	0	3.38141e-10	0	0.867355	5.82161e-11	0	0.980981	0.978304
_D:	0	0	10	"B_C"	""	2	50	0.3511	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.958989	1.05336e-11	0.941736	0	0	0	0.448834	0	0	0.956907	0	0	0.935369	0	0.942608	0.958195	0.925552	0	2.43742e-09	0.933545	0.943911	0.732878	0	0.848681	0.889635	0.946642	0.948481	0	0	0	0	3.72856e-13	0	0.267552	0	0	0.788478	0.947557	0	0.917122	0.865883	0	0.943832	0	0	0.108876	0	0.940465	5.88304e-09	0	0	0.749706	0.904214	0	0	0.00384788	0.854758	0	0.953628	0.422374	0.845021	0	0.938504	0	0.789297	0	0.915731	8.10348e-12	0	0.947329	0.913707	0	0.87601	0.891124	0.912375	0.915939	0.00222444	0	2.05872e-11	0.959831	0.924168	0	0.772721	1.22015e-10	0.849002	0	0.854179	0.946115	0.949458	0.000901161	0.940943	0	0.683625	0.891299	0.872099	0	0.924844	0	0	0.952654	0.406629	0.407992	0.407463	0.407195	0.407293	0.406887	0.407867	0.408063	0.407041	0.407483	0.406591	0.406295	0.401768	0.407858	0.406079	0.406386	0.407539	0.407579	0.406432	0.407286	0.408307	0.407901	0.407616	0.405223	0.407755	0.407009	0.407258	0.404261	0.40635	0.405824	0.407352	0.407777	0.40286	2.20905e-15	0	0.97576	0.899423	0.918664	0	0.534914	0.936865	0.936105	0	2.29706e-10	4.05526e-10	0.967021	0.936078	0.0214266	0	0	1.49807e-10	0	0	0	0.978723	0.975633	0	0.970907	0	0	0	0	0.981316	0.77821	1.15526e-13	0.97421
_D:	0	0	11	"C_J"	""	2	50	0.352288	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.952897	4.42605e-07	0	0	0.674877	0.892348	0	0	0.938701	0.903579	0.954152	0	2.41253e-09	0	5.28776e-05	7.61429e-09	0.93634	0.79847	0.773936	0.437747	0.797876	0.0189133	0.587594	0	0.443961	0.919889	0.930048	0.949781	0.747589	0.15808	0.910176	0	0.94677	0	0.874606	2.31922e-10	1.12291e-10	0.429645	1.46454e-05	0	0.00235666	0.94389	9.16527e-07	0	0	0.880947	0.865994	0	0.954259	0.877432	0.944099	0	0.848448	0.946649	1.19534e-14	0.908818	0.000199087	9.49998e-10	0	0.919289	0.917696	0.0003496	0.91622	0.882333	0.000142684	1.98752e-12	0	0.897459	1.81018e-10	0.904306	0	0	3.30754e-09	0	0	0.820987	0	0.122718	0.958606	0.940713	0	0.941443	0.837081	0.940287	0.426301	0	0.920121	0	0.928636	0	0.93208	0.908554	0	0	0.957573	0	0.958531	0	0	0	0.406202	0.407855	0.4061	0.407385	0.407813	0.407768	0.407788	0.408521	0.406056	0.406461	0.405459	0.404285	0.403605	0.408027	0.406995	0.405147	0.405602	0.407263	0.406157	0.407287	0.408244	0.406193	0.407042	0.406119	0.407529	0.404545	0.404577	0.406349	0.406328	0.406516	0.406445	0.407252	0.402941	0	0.971104	0.969363	0.898909	0	0	0	2.41173e-10	0	0	0.96227	1.01093e-10	0	3.66412e-13	0.981173	0.96852	0	3.97513e-12	0.970369	0.980706	0.949875	0	9.86309e-13	0.000448808	0	3.38848e-10	0	0.983184	0	0.98728	0	0.972568	0
